run,hop,x_start,x_end,node_id,parent_id,time,pop,inversion
0,25,64348.147704517905,67305.703243988362,3,-1,14455.573444662468,0,0
0,25,64348.147704517905,67305.703243988362,0,3,0,0,0
0,25,64348.147704517905,67305.703243988362,2,3,10000,0,0
0,25,64348.147704517905,67305.703243988362,1,2,0,1,0
0,26,67305.703243988362,68685.661497168738,3,-1,11008.09044460153,0,0
0,26,67305.703243988362,68685.661497168738,0,3,0,0,0
0,26,67305.703243988362,68685.661497168738,2,3,10000,0,0
0,26,67305.703243988362,68685.661497168738,1,2,0,1,0
0,27,68685.661497168738,87288.381432786016,3,-1,20754.289842035188,0,0
0,27,68685.661497168738,87288.381432786016,2,3,10000,0,0
0,27,68685.661497168738,87288.381432786016,1,2,0,1,0
0,27,68685.661497168738,87288.381432786016,0,3,0,0,0
0,28,87288.381432786016,90643.224488582229,3,-1,14787.531671711027,0,0
0,28,87288.381432786016,90643.224488582229,0,3,0,0,0
0,28,87288.381432786016,90643.224488582229,2,3,10000,0,0
0,28,87288.381432786016,90643.224488582229,1,2,0,1,0
0,29,90643.224488582229,100000,3,-1,21464.71310392844,0,0
0,29,90643.224488582229,100000,0,3,0,0,0
0,29,90643.224488582229,100000,2,3,10000,0,0
0,29,90643.224488582229,100000,1,2,0,1,0
