run,hop,current_x,event,event_time,raw_delta_x,used_delta_x,next_x
0,132,18922.6,hop_summary,,323.08,323.08,19245.7
0,133,19245.7,coalescence_fallback,21388.4,,,
0,133,19245.7,hop_summary,,90.0394,90.0394,19335.7
0,134,19335.7,coalescence_fallback,75691.6,,,
0,134,19335.7,hop_summary,,254.485,254.485,19590.2
0,135,19590.2,coalescence_fallback,73328.7,,,
0,135,19590.2,hop_summary,,27.4559,27.4559,19617.7
0,136,19617.7,coalescence_fallback,72787.8,,,
0,136,19617.7,hop_summary,,18.794,18.794,19636.5
0,137,19636.5,coalescence,35221.9,,,
0,137,19636.5,hop_summary,,33.1902,33.1902,19669.7
0,138,19669.7,coalescence_fallback,105010,,,
0,138,19669.7,hop_summary,,54.782,54.782,19724.4
0,139,19724.4,coalescence_fallback,35231.2,,,
0,139,19724.4,hop_summary,,8.37238,8.37238,19732.8
0,140,19732.8,coalescence,32495.4,,,
0,140,19732.8,hop_summary,,17.6978,17.6978,19750.5
0,141,19750.5,coalescence_fallback,39944.6,,,
0,141,19750.5,hop_summary,,93.0641,93.0641,19843.6
0,142,19843.6,coalescence_fallback,42654.6,,,
0,142,19843.6,hop_summary,,3.95422,3.95422,19847.5
0,143,19847.5,coalescence,20251.6,,,
0,143,19847.5,hop_summary,,155.446,155.446,20003
0,144,20003,coalescence_fallback,50892.8,,,
0,144,20003,hop_summary,,407.263,407.263,20410.2
0,145,20410.2,coalescence_fallback,60149.8,,,
0,145,20410.2,hop_summary,,147.02,147.02,20557.3
0,146,20557.3,coalescence,38659,,,
0,146,20557.3,hop_summary,,10.8091,10.8091,20568.1
0,147,20568.1,coalescence_fallback,41071.6,,,
0,147,20568.1,hop_summary,,87.9986,87.9986,20656.1
0,148,20656.1,coalescence_fallback,76627,,,
0,148,20656.1,hop_summary,,22.5891,22.5891,20678.7
0,149,20678.7,coalescence_fallback,58354.7,,,
0,149,20678.7,hop_summary,,27.6293,27.6293,20706.3
0,150,20706.3,coalescence_fallback,77486.6,,,
